frame_index,timestamp,tracker_frame_present,result_present,reliability_state,overall_quality_score,gate_passed,transition_reason,tracker_update_latency_ms
59,2.95,True,True,STABLE,0.8245298658180314,True,STATE_MAINTAINED,10.745700215920806
60,3.0,True,True,STABLE,0.8264941527227934,True,STATE_MAINTAINED,77.38889986649156
61,3.05,True,True,STABLE,0.9499226644899474,True,STATE_MAINTAINED,8.6302999407053
62,3.1,True,True,STABLE,0.9421730807237727,True,STATE_MAINTAINED,9.646800113841891
63,3.15,True,True,STABLE,0.93749799766737,True,STATE_MAINTAINED,9.43350000306964
64,3.2,True,True,STABLE,0.934265913957149,True,STATE_MAINTAINED,8.643000153824687
65,3.25,True,True,STABLE,0.9298098308220906,True,STATE_MAINTAINED,8.342100074514747
66,3.3,True,True,STABLE,0.9228759977377109,True,STATE_MAINTAINED,9.032299974933267
67,3.35,True,True,STABLE,0.9177062406634093,True,STATE_MAINTAINED,9.20489989221096
68,3.4,True,True,STABLE,0.913672330994199,True,STATE_MAINTAINED,8.547100005671382
69,3.45,True,True,STABLE,0.9091654971816666,True,STATE_MAINTAINED,8.266500197350979
70,3.5,True,True,STABLE,0.9034411639937909,True,STATE_MAINTAINED,8.472900139167905
71,3.55,True,True,STABLE,0.8958763307612789,True,STATE_MAINTAINED,9.415500098839402
72,3.6,True,True,STABLE,0.8899927472339101,True,STATE_MAINTAINED,9.68560017645359
73,3.65,True,True,STABLE,0.8881492407490612,True,STATE_MAINTAINED,8.52769985795021
74,3.7,True,True,STABLE,0.881208831067237,True,STATE_MAINTAINED,9.032499976456165
75,3.75,True,True,STABLE,0.8756372475872837,True,STATE_MAINTAINED,9.177800035104156
76,3.8,True,True,STABLE,0.8716919145578297,True,STATE_MAINTAINED,8.672599913552403
77,3.85,True,True,STABLE,0.866440080893266,True,STATE_MAINTAINED,8.690000046044588
78,3.9,True,True,STABLE,0.8607858045097394,True,STATE_MAINTAINED,8.495300076901913
79,3.95,True,True,STABLE,0.8554804141664656,True,STATE_MAINTAINED,8.907200070098042
80,4.0,True,True,STABLE,0.8508730813349066,True,STATE_MAINTAINED,8.666799869388342
81,4.05,True,True,STABLE,0.849321323940014,True,STATE_MAINTAINED,8.642199914902449
82,4.1,True,True,STABLE,0.8476959140537086,True,STATE_MAINTAINED,8.271000115200877
83,4.15,True,True,STABLE,0.8453518307721641,True,STATE_MAINTAINED,8.375300094485283
84,4.2,True,True,STABLE,0.8419103047182737,True,STATE_MAINTAINED,8.545499993488193
85,4.25,True,True,STABLE,0.838472471548488,True,STATE_MAINTAINED,9.087299928069115
86,4.3,True,True,STABLE,0.8375351376281384,True,STATE_MAINTAINED,8.628900162875652
87,4.35,True,True,STABLE,0.8358415546432091,True,STATE_MAINTAINED,8.473000023514032
88,4.4,True,True,STABLE,0.8333994143441098,True,STATE_MAINTAINED,8.989599999040365
89,4.45,True,True,STABLE,0.8301363910145615,True,STATE_MAINTAINED,8.819499984383583
90,4.5,True,True,STABLE,0.8047384031716613,True,STATE_MAINTAINED,99.01680005714297
91,4.55,True,True,STABLE,0.9456305414702522,True,STATE_MAINTAINED,9.571800008416176
92,4.6,True,True,STABLE,0.9411044583842558,True,STATE_MAINTAINED,9.298899909481406
93,4.65,True,True,STABLE,0.9320671244167812,True,STATE_MAINTAINED,10.830500163137913
94,4.7,True,True,STABLE,0.9315737914791109,True,STATE_MAINTAINED,8.94450000487268
95,4.75,True,True,STABLE,0.9238059584470866,True,STATE_MAINTAINED,9.968299884349108
96,4.8,True,True,STABLE,0.9196781251921408,True,STATE_MAINTAINED,9.536099852994084
97,4.85,True,True,STABLE,0.9143185415802302,True,STATE_MAINTAINED,9.596599964424968
98,4.9,True,True,STABLE,0.9100559203580247,True,STATE_MAINTAINED,8.952399948611856
99,4.95,True,True,STABLE,0.905812124616196,True,STATE_MAINTAINED,8.832500083371997
100,5.0,True,True,STABLE,0.8997892914837005,True,STATE_MAINTAINED,9.158300003036857
101,5.05,True,True,STABLE,0.8928070148834292,True,STATE_MAINTAINED,9.494800120592117
102,5.1,True,True,STABLE,0.8893863746306948,True,STATE_MAINTAINED,9.152800077572465
103,5.15,True,True,STABLE,0.8842820415071921,True,STATE_MAINTAINED,9.111199993640184
104,5.2,True,True,STABLE,0.8787772650978792,True,STATE_MAINTAINED,8.856700034812093
105,5.25,True,True,STABLE,0.8744618747259579,True,STATE_MAINTAINED,8.872600039467216
106,5.3,True,True,STABLE,0.8682485413070546,True,STATE_MAINTAINED,9.274600073695183
107,5.35,True,True,STABLE,0.8627972084517059,True,STATE_MAINTAINED,9.371799882501364
108,5.4,True,True,STABLE,0.8572476251392714,True,STATE_MAINTAINED,9.508299874141812
109,5.45,True,True,STABLE,0.8536892915641667,True,STATE_MAINTAINED,8.848299970850348
110,5.5,True,True,STABLE,0.8487977839892533,True,STATE_MAINTAINED,8.909600088372827
111,5.55,True,True,STABLE,0.8440881822096138,True,STATE_MAINTAINED,9.39899985678494
112,5.6,True,True,STABLE,0.8435618676209005,True,STATE_MAINTAINED,9.337299969047308
113,5.65,True,True,STABLE,0.8416417081095677,True,STATE_MAINTAINED,9.084000019356608
114,5.7,True,True,STABLE,0.8403806249254472,True,STATE_MAINTAINED,8.755099959671497
115,5.75,True,True,STABLE,0.8385168674831391,True,STATE_MAINTAINED,8.855300024151802
116,5.8,True,True,STABLE,0.8343869583169398,True,STATE_MAINTAINED,9.485899936407804
117,5.85,True,True,STABLE,0.832022874301029,True,STATE_MAINTAINED,9.5982002094388
118,5.9,True,True,STABLE,0.8317875410694408,True,STATE_MAINTAINED,8.85900016874075
119,5.95,True,True,STABLE,0.8290244580898833,True,STATE_MAINTAINED,9.130900027230382
120,6.0,True,True,STABLE,0.8164737541011727,False,STATE_MAINTAINED,102.36749984323978
121,6.05,True,True,STABLE,0.9471237326266819,True,STATE_MAINTAINED,9.032399859279394
122,6.1,True,True,STABLE,0.9432385539330769,True,STATE_MAINTAINED,8.610300021246076
123,6.15,True,True,STABLE,0.936735856568754,True,STATE_MAINTAINED,8.674100041389465
124,6.2,True,True,STABLE,0.9298887732718167,True,STATE_MAINTAINED,9.32960002683103
125,6.25,True,True,STABLE,0.9258920542124885,True,STATE_MAINTAINED,9.298899909481406
126,6.3,True,True,STABLE,0.9208516935083575,True,STATE_MAINTAINED,8.704100036993623
127,6.35,True,True,STABLE,0.9111626101078647,True,STATE_MAINTAINED,10.496400063857436
128,6.4,True,True,STABLE,0.9094015158000621,True,STATE_MAINTAINED,8.522900054231286
129,6.45,True,True,STABLE,0.9018165234625815,True,STATE_MAINTAINED,8.597000036388636
130,6.5,True,True,STABLE,0.8961109401264392,True,STATE_MAINTAINED,8.795900037512183
131,6.55,True,True,STABLE,0.8910441612188581,True,STATE_MAINTAINED,8.372500073164701
132,6.6,True,True,STABLE,0.8802113084311198,True,STATE_MAINTAINED,10.04389999434352
133,6.65,True,True,STABLE,0.8785117247485777,True,STATE_MAINTAINED,8.640400134027004
134,6.7,True,True,STABLE,0.8726631029954232,True,STATE_MAINTAINED,8.563200011849403
135,6.75,True,True,STABLE,0.8670891185355994,True,STATE_MAINTAINED,8.400799939408898
136,6.8,True,True,STABLE,0.8611890957233773,True,STATE_MAINTAINED,8.34579998627305
137,6.85,True,True,STABLE,0.8541455118004323,True,STATE_MAINTAINED,8.76959995366633
138,6.9,True,True,STABLE,0.8488227584040888,True,STATE_MAINTAINED,8.775399997830391
139,6.95,True,True,STABLE,0.8291868881352371,True,STATE_MAINTAINED,8.752099936828017
140,7.0,True,True,STABLE,0.7997691351832351,True,STATE_MAINTAINED,8.922999957576394
141,7.05,True,True,STABLE,0.8002740059787583,True,STATE_MAINTAINED,9.100700030103326
142,7.1,True,True,STABLE,0.7987531582719846,True,STATE_MAINTAINED,9.622700046747923
143,7.15,True,True,STABLE,0.7968214707254571,True,STATE_MAINTAINED,9.127700002864003
144,7.2,True,True,STABLE,0.7950156371768392,True,STATE_MAINTAINED,9.016700088977814
145,7.25,True,True,STABLE,0.7931178247423148,True,STATE_MAINTAINED,8.807099889963865
146,7.3,True,True,STABLE,0.7931869303833773,True,STATE_MAINTAINED,8.807400008663535
147,7.35,True,True,STABLE,0.8135642881402126,True,STATE_MAINTAINED,9.066900005564094
148,7.4,True,True,STABLE,0.7970871970346296,True,STATE_MAINTAINED,8.990900125354528
149,7.45,True,True,STABLE,0.7813094896933562,True,STATE_MAINTAINED,8.887500036507845
