frame_index,timestamp,tracker_frame_present,result_present,reliability_state,overall_quality_score,gate_passed,transition_reason,tracker_update_latency_ms
59,2.95,True,True,STABLE,0.8243977884105277,True,STATE_MAINTAINED,10.640900116413832
60,3.0,True,True,STABLE,0.804674240309736,False,STATE_MAINTAINED,104.42589991725981
61,3.05,True,True,STABLE,0.9410720846213929,True,STATE_MAINTAINED,11.411600047722459
62,3.1,True,True,STABLE,0.9399153841807771,True,STATE_MAINTAINED,10.806000092998147
63,3.15,True,True,STABLE,0.9317625200789049,True,STATE_MAINTAINED,11.127199977636337
64,3.2,True,True,STABLE,0.9278385961082013,True,STATE_MAINTAINED,11.049599852412939
65,3.25,True,True,STABLE,0.922513561813268,True,STATE_MAINTAINED,10.715999873355031
66,3.3,True,True,STABLE,0.9160450199566409,True,STATE_MAINTAINED,11.164200026541948
67,3.35,True,True,STABLE,0.9115684366654853,True,STATE_MAINTAINED,10.871500009670854
68,3.4,True,True,STABLE,0.8990656975475705,True,STATE_MAINTAINED,13.391199987381697
69,3.45,True,True,STABLE,0.9001017409169916,True,STATE_MAINTAINED,10.848499834537506
70,3.5,True,True,STABLE,0.8936677809701244,True,STATE_MAINTAINED,11.383699951693416
71,3.55,True,True,STABLE,0.8888134095608479,True,STATE_MAINTAINED,10.750599903985858
72,3.6,True,True,STABLE,0.8838013256845907,True,STATE_MAINTAINED,10.672100121155381
73,3.65,True,True,STABLE,0.8790084926046963,True,STATE_MAINTAINED,10.505900019779801
74,3.7,True,True,STABLE,0.8733532577759017,True,STATE_MAINTAINED,10.574899846687913
75,3.75,True,True,STABLE,0.8685380758197889,True,STATE_MAINTAINED,10.527400067076087
76,3.8,True,True,STABLE,0.8618223026607044,True,STATE_MAINTAINED,10.714000090956688
77,3.85,True,True,STABLE,0.8565268169780086,True,STATE_MAINTAINED,10.71660011075437
78,3.9,True,True,STABLE,0.8496448680749747,True,STATE_MAINTAINED,10.936100035905838
79,3.95,True,True,STABLE,0.8457994005644828,True,STATE_MAINTAINED,10.840900009498
